cellCode,lme_id,lme_name
10kmE435N538,53,Norwegian Sea
10kmE435N539,53,Norwegian Sea
10kmE435N540,53,Norwegian Sea
10kmE435N541,53,Norwegian Sea
10kmE435N542,53,Norwegian Sea
10kmE435N543,53,Norwegian Sea
10kmE435N544,53,Norwegian Sea
10kmE435N545,53,Norwegian Sea
10kmE435N546,53,Norwegian Sea
10kmE435N547,53,Norwegian Sea
10kmE435N548,53,Norwegian Sea
10kmE435N549,53,Norwegian Sea
10kmE435N550,53,Norwegian Sea
10kmE435N551,53,Norwegian Sea
10kmE435N552,53,Norwegian Sea
10kmE435N553,53,Norwegian Sea
10kmE435N554,53,Norwegian Sea
10kmE435N555,53,Norwegian Sea
10kmE435N556,53,Norwegian Sea
10kmE435N557,53,Norwegian Sea
10kmE435N558,53,Norwegian Sea
10kmE435N559,53,Norwegian Sea
10kmE435N560,53,Norwegian Sea
10kmE435N561,53,Norwegian Sea
10kmE435N562,53,Norwegian Sea
10kmE435N563,53,Norwegian Sea
10kmE435N564,53,Norwegian Sea
10kmE435N565,53,Norwegian Sea
10kmE435N566,53,Norwegian Sea
10kmE435N567,53,Norwegian Sea
10kmE435N568,53,Norwegian Sea
10kmE435N569,53,Norwegian Sea
10kmE435N570,53,Norwegian Sea
10kmE435N571,53,Norwegian Sea
10kmE435N572,53,Norwegian Sea
10kmE435N573,53,Norwegian Sea
10kmE435N574,53,Norwegian Sea
10kmE435N575,53,Norwegian Sea
10kmE435N576,53,Norwegian Sea
10kmE435N577,53,Norwegian Sea
10kmE435N578,53,Norwegian Sea
10kmE435N579,53,Norwegian Sea
10kmE435N580,53,Norwegian Sea
10kmE435N581,53,Norwegian Sea
10kmE435N582,53,Norwegian Sea
10kmE435N583,53,Norwegian Sea
10kmE435N584,53,Norwegian Sea
10kmE435N585,53,Norwegian Sea
10kmE435N586,53,Norwegian Sea
10kmE435N587,53,Norwegian Sea
10kmE435N588,53,Norwegian Sea
10kmE435N589,53,Norwegian Sea
10kmE435N590,53,Norwegian Sea
10kmE435N591,53,Norwegian Sea
10kmE435N592,53,Norwegian Sea
10kmE435N592,54,Barents Sea
10kmE435N593,53,Norwegian Sea
10kmE435N593,54,Barents Sea
10kmE435N594,53,Norwegian Sea
10kmE435N594,54,Barents Sea
10kmE435N595,54,Barents Sea
10kmE435N596,54,Barents Sea
10kmE435N597,54,Barents Sea
10kmE435N598,54,Barents Sea
10kmE435N599,54,Barents Sea
10kmE435N600,54,Barents Sea
10kmE435N601,54,Barents Sea
10kmE435N602,54,Barents Sea
10kmE435N603,54,Barents Sea
10kmE435N604,54,Barents Sea
10kmE435N605,54,Barents Sea
10kmE435N606,54,Barents Sea
10kmE435N607,54,Barents Sea
10kmE435N608,54,Barents Sea
10kmE435N609,54,Barents Sea
10kmE435N610,54,Barents Sea
10kmE435N611,54,Barents Sea
10kmE435N612,54,Barents Sea
10kmE435N613,54,Barents Sea
10kmE435N614,54,Barents Sea
10kmE435N615,54,Barents Sea
10kmE435N616,54,Barents Sea
10kmE435N617,54,Barents Sea
10kmE435N618,54,Barents Sea
10kmE435N619,54,Barents Sea
10kmE435N620,54,Barents Sea
10kmE435N621,54,Barents Sea
10kmE435N622,54,Barents Sea
10kmE435N625,54,Barents Sea
10kmE435N626,54,Barents Sea
10kmE435N627,54,Barents Sea
10kmE435N628,54,Barents Sea
10kmE435N629,54,Barents Sea
10kmE435N630,54,Barents Sea
10kmE435N631,54,Barents Sea
10kmE435N632,54,Barents Sea
10kmE435N633,54,Barents Sea
10kmE435N634,54,Barents Sea
10kmE435N635,54,Barents Sea
10kmE435N636,54,Barents Sea
10kmE435N637,54,Barents Sea
10kmE435N638,54,Barents Sea
10kmE435N639,54,Barents Sea
10kmE435N640,54,Barents Sea
10kmE435N641,54,Barents Sea
10kmE435N642,54,Barents Sea
10kmE435N643,54,Barents Sea
10kmE435N644,54,Barents Sea
10kmE435N645,54,Barents Sea
10kmE435N646,54,Barents Sea
10kmE435N647,54,Barents Sea
10kmE435N648,54,Barents Sea
10kmE435N649,54,Barents Sea
10kmE435N650,54,Barents Sea
10kmE435N651,54,Barents Sea
10kmE435N652,54,Barents Sea
10kmE435N653,54,Barents Sea
10kmE435N654,54,Barents Sea
10kmE435N655,54,Barents Sea
10kmE435N656,54,Barents Sea
10kmE435N657,54,Barents Sea
10kmE435N658,54,Barents Sea
10kmE435N659,54,Barents Sea
10kmE435N660,54,Barents Sea
10kmE436N117,13,Mediterranean Sea
10kmE436N118,13,Mediterranean Sea
10kmE436N119,13,Mediterranean Sea
10kmE436N120,13,Mediterranean Sea
10kmE436N121,13,Mediterranean Sea
10kmE436N122,13,Mediterranean Sea
10kmE436N123,13,Mediterranean Sea
10kmE436N124,13,Mediterranean Sea
10kmE436N125,13,Mediterranean Sea
